user_id,workspace_id,email,role,seat_type
USR-89715,WS-4517,carlroy@example.com,Member,Free (500 credits)
USR-11513,WS-4517,virginia64@example.net,Member,Free (500 credits)
USR-26937,WS-4517,rosejohn@example.org,Member,Free (500 credits)
USR-31161,WS-4517,brent34@example.net,Member,"Pro (8,000 credits)"
USR-49977,WS-4517,kellyporter@example.org,Member,"Pro (8,000 credits)"
USR-45457,WS-4517,linda40@example.org,Builder,Free (500 credits)
USR-12416,WS-4517,williesanchez@example.com,Member,Free (500 credits)
USR-23930,WS-4517,idouglas@example.com,Member,"Pro (8,000 credits)"
USR-76412,WS-4517,gwendolyn35@example.org,Member,"Pro (8,000 credits)"
USR-93358,WS-4517,richardbailey@example.org,Member,"Pro (8,000 credits)"
USR-27015,WS-4517,jonesjoyce@example.com,Member,Free (500 credits)
USR-66458,WS-4517,brianortega@example.com,Member,Free (500 credits)
USR-76314,WS-2144,carol40@example.com,Admin,"Max (40,000 credits)"
USR-34294,WS-2144,josephsmith@example.com,Member,"Pro (8,000 credits)"
USR-53113,WS-2144,john43@example.com,Member,Free (500 credits)
USR-33980,WS-2144,rogerschristopher@example.com,Member,"Max (40,000 credits)"
USR-75898,WS-2144,johnparsons@example.org,Member,Free (500 credits)
USR-44625,WS-2144,thomasbrenda@example.com,Member,Free (500 credits)
USR-12948,WS-2144,kevin31@example.net,Member,Free (500 credits)
USR-79361,WS-2144,dianebaldwin@example.net,Member,Free (500 credits)
USR-61054,WS-2144,jennifer72@example.com,Member,Free (500 credits)
USR-91095,WS-2144,bradleyconley@example.net,Member,"Pro (8,000 credits)"
USR-92225,WS-2144,zgross@example.net,Member,Free (500 credits)
USR-28259,WS-2144,mckenziebrandy@example.net,Member,"Pro (8,000 credits)"
USR-99508,WS-2144,christopherwilliams@example.net,Member,"Pro (8,000 credits)"
USR-57278,WS-2144,bennettshannon@example.org,Builder,Free (500 credits)
USR-92282,WS-2144,simserin@example.com,Builder,Free (500 credits)
USR-44575,WS-2144,bryantchad@example.net,Member,Free (500 credits)
USR-80149,WS-2144,hopkinscarl@example.net,Member,"Pro (8,000 credits)"
USR-72109,WS-2144,lisa43@example.net,Member,Free (500 credits)
USR-36898,WS-2144,jodidaugherty@example.com,Member,"Pro (8,000 credits)"
USR-60142,WS-2144,mendozagabriela@example.org,Member,Free (500 credits)
USR-90868,WS-2144,chrishernandez@example.com,Member,Free (500 credits)
USR-95397,WS-2144,christine20@example.com,Member,"Pro (8,000 credits)"
USR-17950,WS-2144,radams@example.org,Member,"Pro (8,000 credits)"
USR-38533,WS-2144,hcarter@example.com,Member,"Max (40,000 credits)"
USR-70904,WS-2144,howens@example.net,Member,"Pro (8,000 credits)"
USR-36116,WS-2144,tiffany70@example.com,Member,"Pro (8,000 credits)"
USR-70158,WS-2144,wilkinstammy@example.com,Member,"Pro (8,000 credits)"
USR-45213,WS-2144,nclark@example.org,Member,"Pro (8,000 credits)"
USR-86214,WS-2144,thomasalexandria@example.com,Member,"Pro (8,000 credits)"
USR-27380,WS-2144,olivia53@example.com,Member,"Max (40,000 credits)"
USR-73719,WS-2144,ajohnson@example.com,Member,"Pro (8,000 credits)"
USR-99337,WS-2144,usullivan@example.org,Member,"Max (40,000 credits)"
USR-64549,WS-2144,nicholas15@example.org,Builder,Free (500 credits)
USR-52539,WS-2144,mary13@example.net,Member,Free (500 credits)
USR-11536,WS-2144,jon16@example.com,Member,Free (500 credits)
USR-87224,WS-2144,wardronnie@example.com,Member,"Pro (8,000 credits)"
USR-16326,WS-2144,cristian42@example.org,Member,Free (500 credits)
USR-44829,WS-2144,mdixon@example.com,Member,"Pro (8,000 credits)"
USR-66065,WS-2144,caincrystal@example.net,Builder,"Max (40,000 credits)"
USR-81988,WS-2144,jenniferwilliams@example.net,Member,Free (500 credits)
USR-63855,WS-1968,imendez@example.net,Admin,Free (500 credits)
USR-47513,WS-1968,jwilliams@example.org,Member,Free (500 credits)
USR-32382,WS-1968,sperry@example.com,Member,Free (500 credits)
USR-43520,WS-1968,richard34@example.com,Member,"Max (40,000 credits)"
USR-83049,WS-1968,pwilson@example.org,Member,Free (500 credits)
USR-19852,WS-1968,vincentcain@example.net,Member,Free (500 credits)
USR-38839,WS-1968,wescobar@example.com,Member,Free (500 credits)
USR-66023,WS-1968,amysanchez@example.org,Member,"Pro (8,000 credits)"
USR-54820,WS-1968,floresmicheal@example.net,Member,"Pro (8,000 credits)"
USR-36495,WS-1968,bradyrobert@example.com,Member,"Max (40,000 credits)"
USR-78703,WS-1968,nicholasmorgan@example.org,Builder,"Max (40,000 credits)"
USR-75292,WS-1968,autumn52@example.net,Member,"Max (40,000 credits)"
USR-75981,WS-1968,christophermosley@example.com,Builder,Free (500 credits)
USR-62396,WS-1968,treynolds@example.org,Member,Free (500 credits)
USR-26678,WS-1968,colemankathryn@example.com,Member,"Max (40,000 credits)"
USR-86962,WS-1968,zsmith@example.net,Member,"Pro (8,000 credits)"
USR-71361,WS-1968,gwright@example.org,Member,Free (500 credits)
USR-30234,WS-1968,alexandrafleming@example.net,Member,"Pro (8,000 credits)"
USR-94849,WS-1968,xmiller@example.org,Member,Free (500 credits)
USR-10179,WS-1968,jessegillespie@example.net,Member,"Pro (8,000 credits)"
USR-49817,WS-1968,courtneyrice@example.com,Builder,"Max (40,000 credits)"
USR-24697,WS-1968,jonesalice@example.net,Member,Free (500 credits)
USR-35126,WS-1968,ygreen@example.net,Builder,Free (500 credits)
USR-10150,WS-1968,medinawendy@example.com,Member,Free (500 credits)
USR-51465,WS-1968,thomasyoung@example.org,Member,Free (500 credits)
USR-13837,WS-1968,tbush@example.org,Builder,"Max (40,000 credits)"
USR-12855,WS-1968,tyronecraig@example.com,Member,"Max (40,000 credits)"
USR-20628,WS-1968,jeremy65@example.org,Member,Free (500 credits)
USR-74611,WS-1968,dominguezjennifer@example.com,Member,"Max (40,000 credits)"
USR-99465,WS-1968,zgonzalez@example.com,Member,Free (500 credits)
USR-76175,WS-1968,harristara@example.com,Builder,"Max (40,000 credits)"
USR-35419,WS-1968,stevenbaker@example.com,Member,"Pro (8,000 credits)"
USR-24287,WS-1968,obishop@example.com,Member,Free (500 credits)
USR-64660,WS-1968,rushdustin@example.com,Member,Free (500 credits)
USR-17124,WS-1968,andrewcarlson@example.com,Member,"Max (40,000 credits)"
USR-16794,WS-1968,whiteshannon@example.net,Builder,Free (500 credits)
USR-51182,WS-1968,brightsarah@example.com,Member,"Max (40,000 credits)"
USR-34993,WS-1968,denisewarren@example.com,Member,Free (500 credits)
USR-14180,WS-1968,elizabeth65@example.com,Member,"Pro (8,000 credits)"
USR-67990,WS-1968,danielmiller@example.org,Member,"Pro (8,000 credits)"
USR-56067,WS-1968,hmoses@example.net,Member,"Max (40,000 credits)"
USR-37184,WS-1968,tkelly@example.com,Member,Free (500 credits)
USR-21502,WS-1968,thorntonjames@example.net,Member,Free (500 credits)
USR-68503,WS-1968,marcusmclaughlin@example.com,Builder,"Max (40,000 credits)"
USR-13969,WS-1968,owright@example.com,Member,Free (500 credits)
USR-15328,WS-2013,ejohnson@example.org,Admin,"Max (40,000 credits)"
USR-43687,WS-2013,julieroach@example.com,Member,Free (500 credits)
USR-57575,WS-2013,matthew90@example.com,Member,"Max (40,000 credits)"
USR-51482,WS-2013,kenneth91@example.org,Member,Free (500 credits)
USR-40653,WS-2013,alvarezsummer@example.com,Member,Free (500 credits)
USR-42905,WS-2013,ibriggs@example.com,Member,"Max (40,000 credits)"
USR-33978,WS-2013,langjoanna@example.net,Member,"Pro (8,000 credits)"
USR-29833,WS-2013,markflores@example.com,Builder,Free (500 credits)
USR-88081,WS-2013,huntpeter@example.org,Member,Free (500 credits)
USR-42415,WS-2013,cbrown@example.com,Member,Free (500 credits)
USR-82429,WS-2013,eugene61@example.org,Member,Free (500 credits)
USR-44719,WS-2013,clarkrobert@example.net,Builder,"Max (40,000 credits)"
USR-68584,WS-2013,jimbutler@example.net,Member,Free (500 credits)
USR-98356,WS-2013,julieboone@example.net,Member,Free (500 credits)
USR-25881,WS-2013,kelly94@example.com,Member,"Pro (8,000 credits)"
USR-43299,WS-2013,james32@example.org,Member,"Pro (8,000 credits)"
USR-40867,WS-2013,juansolomon@example.org,Builder,"Max (40,000 credits)"
USR-52773,WS-2013,fostervictoria@example.net,Builder,"Pro (8,000 credits)"
USR-78984,WS-2013,debragarcia@example.com,Member,Free (500 credits)
USR-14852,WS-2013,smithnicole@example.org,Member,Free (500 credits)
USR-68759,WS-2013,billy43@example.org,Member,"Max (40,000 credits)"
USR-16604,WS-2013,carolinecarey@example.org,Builder,"Max (40,000 credits)"
USR-19845,WS-2013,william27@example.net,Member,"Pro (8,000 credits)"
USR-44071,WS-2013,rodriguezcaitlyn@example.net,Member,"Pro (8,000 credits)"
USR-55835,WS-2013,benjaminmorgan@example.org,Member,Free (500 credits)
USR-36735,WS-2013,benjamin30@example.com,Member,Free (500 credits)
USR-63607,WS-3181,jacob41@example.org,Admin,"Max (40,000 credits)"
USR-14124,WS-3181,ekelley@example.com,Member,"Pro (8,000 credits)"
USR-23289,WS-3181,jbeck@example.net,Member,"Max (40,000 credits)"
USR-79992,WS-3181,delgadoraymond@example.com,Builder,"Pro (8,000 credits)"
USR-63711,WS-3181,elizabeth60@example.com,Member,"Max (40,000 credits)"
USR-84254,WS-3181,robert05@example.net,Member,"Max (40,000 credits)"
USR-35847,WS-3181,nluna@example.org,Member,"Max (40,000 credits)"
USR-66906,WS-3181,rodneyhoover@example.com,Member,"Pro (8,000 credits)"
USR-85732,WS-3181,steven22@example.org,Member,Free (500 credits)
USR-16775,WS-3181,daniellebrowning@example.org,Builder,Free (500 credits)
USR-85086,WS-3181,jo22@example.com,Builder,"Max (40,000 credits)"
USR-47132,WS-3181,adrianaschaefer@example.org,Member,"Pro (8,000 credits)"
USR-60296,WS-3181,ymolina@example.org,Member,"Pro (8,000 credits)"
USR-49533,WS-3181,marywilliams@example.com,Member,Free (500 credits)
USR-51225,WS-3181,lawsondana@example.org,Member,"Pro (8,000 credits)"
USR-91309,WS-3181,daniellegates@example.net,Member,"Pro (8,000 credits)"
USR-63016,WS-3181,mariawhite@example.org,Member,Free (500 credits)
USR-15467,WS-3181,kmays@example.com,Member,Free (500 credits)
USR-57082,WS-3181,hernandeztara@example.org,Builder,Free (500 credits)
USR-15386,WS-3181,contrerasmario@example.com,Member,Free (500 credits)
USR-88580,WS-3181,opierce@example.com,Member,"Max (40,000 credits)"
USR-95069,WS-3181,pparker@example.com,Member,Free (500 credits)
USR-61014,WS-3181,sean72@example.org,Member,"Pro (8,000 credits)"
USR-10459,WS-3181,cmarshall@example.net,Member,"Pro (8,000 credits)"
USR-70068,WS-3181,lisaross@example.org,Member,Free (500 credits)
USR-26836,WS-3181,ryan17@example.net,Builder,Free (500 credits)
USR-76867,WS-3181,williamsdavid@example.net,Member,Free (500 credits)
USR-51120,WS-3181,brownwilliam@example.com,Member,Free (500 credits)
USR-95556,WS-3181,anthonyjones@example.net,Builder,Free (500 credits)
USR-24363,WS-3181,davidblackwell@example.com,Member,"Pro (8,000 credits)"
USR-31641,WS-3181,cameronbell@example.com,Member,Free (500 credits)
USR-30809,WS-3181,peggy47@example.org,Member,"Pro (8,000 credits)"
USR-43313,WS-3181,qclark@example.net,Member,Free (500 credits)
USR-76323,WS-3181,luisjohnson@example.org,Member,Free (500 credits)
USR-62883,WS-3181,danaramirez@example.com,Member,"Max (40,000 credits)"
USR-59393,WS-3181,laurabaker@example.net,Builder,"Pro (8,000 credits)"
USR-16366,WS-3181,tammy78@example.net,Member,"Max (40,000 credits)"
USR-86027,WS-3181,kingamanda@example.com,Member,Free (500 credits)
USR-58688,WS-3181,nicholas59@example.org,Member,"Max (40,000 credits)"
USR-57218,WS-3181,kathy73@example.org,Member,"Pro (8,000 credits)"
USR-90658,WS-3181,phillipszachary@example.com,Builder,"Pro (8,000 credits)"
USR-93786,WS-6054,jessica03@example.org,Admin,Free (500 credits)
USR-48138,WS-6054,xbutler@example.org,Member,"Pro (8,000 credits)"
USR-27304,WS-6054,pperez@example.org,Member,Free (500 credits)
USR-12921,WS-6054,smithmichael@example.org,Member,"Pro (8,000 credits)"
USR-78562,WS-6054,amanda69@example.com,Member,Free (500 credits)
USR-87213,WS-6054,jameshanson@example.com,Builder,"Max (40,000 credits)"
USR-30791,WS-6054,alexissolis@example.net,Member,Free (500 credits)
USR-29570,WS-6054,odavis@example.org,Member,Free (500 credits)
USR-97224,WS-6054,richard40@example.org,Member,Free (500 credits)
USR-94534,WS-6054,brooke97@example.net,Member,Free (500 credits)
USR-77840,WS-6054,awright@example.org,Member,Free (500 credits)
USR-18064,WS-6054,sullivanjohn@example.org,Member,Free (500 credits)
USR-23751,WS-6054,salazardiane@example.org,Builder,"Pro (8,000 credits)"
USR-28647,WS-6054,mgonzalez@example.net,Member,Free (500 credits)
USR-76446,WS-6054,lli@example.net,Member,"Max (40,000 credits)"
USR-50551,WS-6054,evansbrandon@example.net,Builder,"Max (40,000 credits)"
USR-72642,WS-6054,brookssamuel@example.com,Member,"Max (40,000 credits)"
USR-20548,WS-6054,gthompson@example.com,Member,Free (500 credits)
USR-40447,WS-6054,martinezpatricia@example.net,Member,"Pro (8,000 credits)"
USR-44511,WS-6054,adamsangela@example.com,Builder,"Max (40,000 credits)"
USR-99880,WS-6054,kenneth31@example.net,Member,Free (500 credits)
USR-11995,WS-6054,jorgeyoung@example.net,Member,"Pro (8,000 credits)"
USR-36578,WS-6054,juliemurphy@example.com,Member,Free (500 credits)
USR-53064,WS-6054,noahchristian@example.net,Member,Free (500 credits)
USR-97193,WS-6054,hkennedy@example.net,Member,"Pro (8,000 credits)"
USR-10836,WS-6054,kimjenny@example.net,Member,Free (500 credits)
USR-50337,WS-6054,peterrichards@example.net,Member,Free (500 credits)
USR-32484,WS-6054,antoniorodriguez@example.net,Member,Free (500 credits)
USR-31208,WS-6054,tiffany00@example.org,Member,"Pro (8,000 credits)"
USR-28140,WS-6054,terryjillian@example.org,Member,"Pro (8,000 credits)"
USR-87394,WS-6054,james81@example.net,Builder,Free (500 credits)
USR-60311,WS-6054,wrightjames@example.org,Member,Free (500 credits)
USR-14512,WS-6054,bryancrystal@example.com,Member,"Pro (8,000 credits)"
USR-72536,WS-6054,andersonlatoya@example.net,Member,Free (500 credits)
USR-36868,WS-6054,luis64@example.org,Member,"Pro (8,000 credits)"
USR-55993,WS-6054,sarah05@example.com,Builder,"Pro (8,000 credits)"
USR-88906,WS-6054,nyork@example.net,Builder,"Pro (8,000 credits)"
USR-14060,WS-6054,hjohnson@example.org,Member,"Pro (8,000 credits)"
USR-55453,WS-6054,ibush@example.net,Member,Free (500 credits)
USR-38386,WS-6054,andrewsjustin@example.com,Member,Free (500 credits)
USR-10170,WS-6054,keithchristensen@example.org,Member,Free (500 credits)
USR-10571,WS-6054,travis72@example.com,Builder,"Pro (8,000 credits)"
USR-87667,WS-6054,susan84@example.net,Member,Free (500 credits)
USR-30826,WS-6054,lisa37@example.org,Member,Free (500 credits)
USR-24407,WS-6054,henryvickie@example.net,Builder,"Max (40,000 credits)"
USR-23704,WS-4078,michael66@example.net,Admin,Free (500 credits)
USR-21294,WS-4078,bbeasley@example.com,Member,Free (500 credits)
USR-37016,WS-4078,jose88@example.org,Member,Free (500 credits)
USR-59716,WS-4078,sherrymartinez@example.net,Member,"Max (40,000 credits)"
USR-89344,WS-4078,baileymark@example.org,Builder,"Pro (8,000 credits)"
USR-69022,WS-4078,gavin74@example.net,Member,"Max (40,000 credits)"
USR-40280,WS-4078,matthewday@example.net,Member,Free (500 credits)
USR-41187,WS-4078,josephfischer@example.net,Member,Free (500 credits)
USR-30262,WS-4078,theresacummings@example.net,Member,"Max (40,000 credits)"
USR-78443,WS-4078,eugene53@example.com,Member,"Max (40,000 credits)"
USR-23343,WS-4078,suzannegarcia@example.com,Builder,Free (500 credits)
USR-29786,WS-4078,lauraquinn@example.com,Member,"Max (40,000 credits)"
USR-45890,WS-4078,danielpruitt@example.com,Member,"Pro (8,000 credits)"
USR-37059,WS-4078,amarshall@example.com,Builder,Free (500 credits)
USR-67216,WS-4078,vincentchen@example.com,Member,"Max (40,000 credits)"
USR-12898,WS-4078,jonathanrojas@example.org,Member,"Max (40,000 credits)"
USR-41756,WS-4078,lhaynes@example.net,Member,Free (500 credits)
USR-94829,WS-4078,qsingleton@example.net,Builder,"Pro (8,000 credits)"
USR-95522,WS-4078,erinmay@example.com,Member,"Max (40,000 credits)"
USR-66692,WS-4078,jordan16@example.org,Member,"Pro (8,000 credits)"
USR-62446,WS-4078,johnhenderson@example.com,Member,"Pro (8,000 credits)"
USR-12576,WS-4078,qholmes@example.org,Member,Free (500 credits)
USR-95785,WS-4078,kimberly67@example.org,Member,Free (500 credits)
USR-14999,WS-4078,amy23@example.net,Member,"Pro (8,000 credits)"
USR-55640,WS-4078,boonestephen@example.org,Member,Free (500 credits)
USR-72355,WS-4078,fowlermaria@example.net,Member,"Pro (8,000 credits)"
USR-54938,WS-4078,dharmon@example.org,Member,Free (500 credits)
USR-99700,WS-1976,philipfarmer@example.org,Admin,Free (500 credits)
USR-90478,WS-1976,dana44@example.com,Member,Free (500 credits)
USR-62387,WS-1976,smithrobert@example.com,Member,"Pro (8,000 credits)"
USR-92387,WS-1976,betty13@example.com,Builder,"Pro (8,000 credits)"
USR-62491,WS-1976,virginiayu@example.com,Member,Free (500 credits)
USR-37788,WS-1976,davidfrank@example.net,Member,"Max (40,000 credits)"
USR-35319,WS-1976,umay@example.org,Member,"Pro (8,000 credits)"
USR-29171,WS-1976,elizabeth67@example.com,Member,Free (500 credits)
USR-81862,WS-1976,kimberlyharrison@example.org,Member,"Pro (8,000 credits)"
USR-45051,WS-1976,bmcdaniel@example.net,Builder,Free (500 credits)
USR-34364,WS-1976,usmith@example.com,Member,"Pro (8,000 credits)"
USR-56920,WS-1976,destinyflores@example.com,Builder,Free (500 credits)
USR-66163,WS-1976,hopkinsmichael@example.com,Member,Free (500 credits)
USR-60477,WS-1976,milleranne@example.com,Member,"Pro (8,000 credits)"
USR-28402,WS-1976,cynthia00@example.org,Member,Free (500 credits)
USR-19437,WS-1976,john19@example.org,Member,Free (500 credits)
USR-40623,WS-1976,kimberlyreed@example.org,Member,"Max (40,000 credits)"
USR-37333,WS-6146,kconner@example.net,Admin,Free (500 credits)
USR-89739,WS-6146,barnettpatricia@example.net,Member,Free (500 credits)
USR-48934,WS-6146,troylewis@example.org,Member,Free (500 credits)
USR-67486,WS-6146,petersjoseph@example.org,Member,"Pro (8,000 credits)"
USR-28263,WS-6146,dsnyder@example.com,Member,"Max (40,000 credits)"
USR-71222,WS-6146,jackiewright@example.org,Member,Free (500 credits)
USR-80718,WS-6146,martinmalik@example.net,Member,Free (500 credits)
USR-83737,WS-6146,dortega@example.com,Member,"Max (40,000 credits)"
USR-65812,WS-6146,rcooke@example.org,Builder,Free (500 credits)
USR-33660,WS-6146,daisy00@example.net,Member,"Max (40,000 credits)"
USR-16012,WS-6146,lindsey18@example.com,Builder,Free (500 credits)
USR-73527,WS-6146,austinrobbins@example.net,Builder,Free (500 credits)
USR-26633,WS-6146,cody55@example.com,Member,"Max (40,000 credits)"
USR-78883,WS-6146,justinpeterson@example.com,Member,"Max (40,000 credits)"
USR-82617,WS-6146,serranokelly@example.com,Member,Free (500 credits)
USR-62917,WS-6146,william48@example.com,Builder,"Max (40,000 credits)"
USR-36677,WS-6146,vconner@example.org,Member,Free (500 credits)
USR-51562,WS-5911,david10@example.com,Admin,"Pro (8,000 credits)"
USR-82652,WS-5911,dgardner@example.com,Member,"Max (40,000 credits)"
USR-49374,WS-5911,smithjames@example.com,Member,Free (500 credits)
USR-89781,WS-5911,mccormickrenee@example.net,Builder,Free (500 credits)
USR-59288,WS-5911,courtneyhorton@example.net,Member,"Max (40,000 credits)"
USR-99257,WS-5911,lewiselizabeth@example.com,Member,"Pro (8,000 credits)"
USR-91956,WS-5911,craigwhite@example.org,Member,"Pro (8,000 credits)"
USR-65256,WS-5911,sloandiana@example.com,Member,"Max (40,000 credits)"
USR-28179,WS-5911,anna44@example.org,Builder,"Pro (8,000 credits)"
USR-65284,WS-5911,floresryan@example.net,Builder,"Pro (8,000 credits)"
USR-85796,WS-5911,jimenezalexa@example.org,Member,Free (500 credits)
USR-65190,WS-5911,agriffin@example.net,Member,"Pro (8,000 credits)"
USR-60743,WS-5911,thomasgutierrez@example.org,Member,Free (500 credits)
USR-20869,WS-5911,jlewis@example.net,Member,Free (500 credits)
USR-12035,WS-5911,rsmith@example.net,Member,"Pro (8,000 credits)"
USR-25947,WS-5911,robinsondavid@example.com,Member,Free (500 credits)
USR-12330,WS-5911,jennifer37@example.net,Builder,Free (500 credits)
USR-34564,WS-5911,diazjulie@example.net,Member,Free (500 credits)
USR-28979,WS-5911,carterangela@example.com,Member,"Max (40,000 credits)"
USR-70369,WS-5911,robin00@example.org,Builder,"Pro (8,000 credits)"
USR-17936,WS-5911,waregloria@example.net,Member,"Max (40,000 credits)"
USR-20443,WS-5911,ucollins@example.net,Member,"Pro (8,000 credits)"
USR-31757,WS-5911,ulynch@example.com,Member,"Max (40,000 credits)"
USR-85361,WS-5911,kharrison@example.org,Member,Free (500 credits)
USR-25296,WS-5911,stephanie26@example.com,Member,Free (500 credits)
USR-60559,WS-5911,yduffy@example.net,Member,"Pro (8,000 credits)"
USR-53763,WS-5911,joshua99@example.com,Member,"Pro (8,000 credits)"
USR-89406,WS-5911,guerracarolyn@example.com,Member,"Max (40,000 credits)"
USR-86633,WS-5911,pbray@example.com,Builder,"Pro (8,000 credits)"
USR-60771,WS-5911,oguzman@example.com,Builder,"Max (40,000 credits)"
USR-47133,WS-5911,morrisjoseph@example.org,Member,"Pro (8,000 credits)"
USR-86892,WS-5911,robertsdonald@example.net,Builder,Free (500 credits)
USR-29267,WS-5911,theresa87@example.com,Member,"Pro (8,000 credits)"
USR-80065,WS-5911,fernandeztodd@example.com,Member,"Pro (8,000 credits)"
USR-36270,WS-5911,kylebrown@example.com,Member,Free (500 credits)
USR-70990,WS-5911,sarawillis@example.org,Builder,Free (500 credits)
USR-60459,WS-4999,ifernandez@example.com,Admin,Free (500 credits)
USR-18209,WS-4999,raymondmeyer@example.com,Member,Free (500 credits)
USR-78401,WS-4999,thomas93@example.org,Member,"Max (40,000 credits)"
USR-37878,WS-4999,christophershaffer@example.com,Member,Free (500 credits)
USR-57556,WS-4999,richard82@example.org,Builder,Free (500 credits)
USR-15845,WS-4999,gbrooks@example.com,Member,"Pro (8,000 credits)"
USR-92934,WS-4999,jcobb@example.com,Member,Free (500 credits)
USR-88277,WS-4999,cooperapril@example.org,Member,"Pro (8,000 credits)"
USR-22331,WS-4999,harrismonica@example.net,Member,"Pro (8,000 credits)"
USR-73742,WS-4999,josemaxwell@example.com,Member,"Pro (8,000 credits)"
USR-22728,WS-4999,msaunders@example.org,Builder,"Max (40,000 credits)"
