deal_id,first_name,last_name,email,company_name,country,lead_source,deal_stage,company_size,arr_value,last_activity_days_ago
DL-73654,Amanda,Navarro,amanda.navarro@hurstfreemanandnelson.com,"Hurst, Freeman and Nelson",UK,G2,Demo Scheduled,1-50,69050.82,6
DL-75909,Jill,Brown,jill.brown@brown-silva.com,Brown-Silva,United States,Direct,Demo Scheduled,201-1000,37572.9,4
DL-82544,Christopher,Walker,christopher.walker@sanchezbeckandwood.com,"Sanchez, Beck and Wood",FRA,Partner,Closed Won,51-200,27435.88,10
DL-24322, Denise,Lucas,denise.lucas@powellllc.com,Powell LLC,GBR,Organic,Legal Review,51-200,33938.06,36
DL-33834,karen,hudson,karen.hudson@grayjohnsonandrosales.com,"Gray, Johnson and Rosales",US,Outbound SDR,Closed Won,201-1000,60231.14,13
DL-48684,Alyssa,Mcintyre,alyssa.mcintyre@scottgroup.com,Scott Group,Great Britain,G2,Discovery,201-1000,53029.74,2
DL-17331,Steven,Nelson,steven.nelson@wattsrobinsonandnguyen.com,"Watts, Robinson and Nguyen",UK,Events,Technical Validation,51-200,27161.69,21
DL-67939,Robert,Lopez,robert.lopez@dean-jimenez.com,Dean-Jimenez,France,Direct,Discovery,1-50,42108.97,26
DL-59968,Patrick,Chase,patrick.chase@williams-garner.com,Williams-Garner,Great Britain,Direct,Discovery,1000+,57680.11,23
DL-47353,David,Bailey,david.bailey@suarezllc.com,Suarez LLC,USA,G2,Technical Validation,1000+,128749.95,43
DL-48452,Scott,Benson,scott.benson@williamsinc.com,Williams Inc,United States,Events,Discovery,51-200,49098.06,3
DL-86350,Charles,Ware,charles.ware@gardnerllc.com,Gardner LLC,GBR,Direct,Closed Won,1-50,55344.55,8
DL-53309,jeffrey,jones,jeffrey.jones@brownjonesandjohnson.com,"Brown, Jones and Johnson",FRA,Referral (Old),Technical Validation,51-200,112478.48,12
DL-19120,kimberly,james,kimberly.james@evans-chapman.com,Evans-Chapman,United States,Outbound SDR,Closed Won,1000+,103764.35,83
DL-23434,Danielle,Johnson,danielle.johnson@sanchez-taylor.com,Sanchez-Taylor,USA,Outbound SDR,Closed Won,1-50,90621.41,1
DL-69609,Michael,Gibbs,michael.gibbs@bakerinc.com,Baker Inc,GBR,G2,Discovery,51-200,80209.07,12
DL-74340,Brandon,Brown,brandon.brown@terry-martinez.com,Terry-Martinez,USA,Outbound SDR,Discovery,1-50,77120.87,8
DL-26334,James,Reynolds,james.reynolds@mccallhansonandalvarado.com,"Mccall, Hanson and Alvarado",US,Direct,Demo Scheduled,201-1000,107508.6,17
DL-23833,Casey,Holland,casey.holland@atkinsongroup.com,Atkinson Group,GBR,Outbound SDR,Closed Won,1-50,45204.85,58
DL-48752,Jennifer,Evans,jennifer.evans@estrada-nguyen.com,Estrada-Nguyen,GBR,Direct,Demo Scheduled,1000+,21642.56,4
DL-79329,Eric,Bass,eric.bass@turnerriggsandroman.com,"Turner, Riggs and Roman  ",GBR,G2,Legal Review,51-200,126873.32,36
DL-64040,Terri,Brady,terri.brady@hancockandsons.com,Hancock and Sons,UK,G2,Technical Validation,1-50,76674.44,6
DL-46241,stephanie,vaughn,stephanie68@gmail.com,Robinson Group,USA,G2,Technical Validation,201-1000,117641.16,12
DL-30861,Cheyenne,Ball,cheyenne.ball@simmonsmeadowsandgriffin.com,"Simmons, Meadows and Griffin",Great Britain,G2,Closed Lost,51-200,87910.66,4
DL-27892,Tina,Sanchez,tina.sanchez@thomasleeandgreene.com,"Thomas, Lee and Greene",USA,Direct,Legal Review,1000+,96601.7,24
DL-62488,Daniel,Martin,daniel.martin@steele-roberts.com,Steele-Roberts,Great Britain,Events,Demo Scheduled,201-1000,70151.29,11
DL-40735,Katie,Boyd,katie.boyd@allengonzalesandreeves.com,"Allen, Gonzales and Reeves",Great Britain,G2,Discovery,51-200,64446.9,15
DL-65255,Jason,Murphy,jason.murphy@ramirez-bean.com,Ramirez-Bean,UK,Referral (Old),Technical Validation,201-1000,113384.73,3
DL-19838,Jason,Guerrero,jason.guerrero@allenplc.com,Allen PLC,US,Organic,Closed Lost,1-50,94176.22,10
DL-66626,Holly,Bender,holly.bender@fernandezkimandgeorge.com,"Fernandez, Kim and George  ",US,Partner,Demo Scheduled,201-1000,142411.9,10
DL-38569,Christine,Allen,christine.allen@caldwell-elliott.com,Caldwell-Elliott,US,Direct,Closed Lost,201-1000,20710.18,4
DL-86724,Charles,Miller,charles.miller@hernandezmartinezandweber.com,"Hernandez, Martinez and Weber",FRA,Direct,Technical Validation,1-50,30878.68,11
DL-27146,christopher,henderson,christopher.henderson@williams-cook.com,Williams-Cook,United States,Outbound SDR,Technical Validation,51-200,92854.44,47
DL-82845,Tricia,Baker,tricia.baker@mitchell-horton.com,Mitchell-Horton,FRA,Events,Legal Review,51-200,94249.66,6
DL-38183,Laura,Wilson,laura.wilson@curtismackandle.com," Curtis, Mack and Le ",UK,Organic,Discovery,51-200,34881.84,2
DL-43466,Felicia,Jimenez,felicia83@gmail.com,"Thomas, Murray and King",USA,Partner,Legal Review,1-50,77215.52,14
DL-84946,stanley,morris,stanley.morris@pollardandsons.com,Pollard and Sons,United States,Organic,Legal Review,1000+,29163.49,9
DL-18161,Jasmine,Brown,jasmine.brown@rivera-owens.com, Rivera-Owens ,France,Referral (Old),Technical Validation,51-200,113281.12,8
DL-27601,Alan,Montoya,alan.montoya@huynh-garcia.com, Huynh-Garcia ,USA,Direct,Legal Review,51-200,12291.27,7
DL-28449,Julie,Morgan,julie.morgan@mcdonaldinc.com,Mcdonald Inc,UK,Direct,Technical Validation,51-200,109603.02,13
DL-30028,joseph,flores,joseph.flores@millerhernandezandreyes.com,"Miller, Hernandez and Reyes",France,Events,Technical Validation,1000+,143350.24,14
DL-20527,Terrance,Costa,terrance.costa@hanson-sanders.com,Hanson-Sanders,France,Organic,Legal Review,1-50,122524.42,48
DL-19807,Alicia,Bryant,alicia24@gmail.com,"Thomas, Pitts and Booker",US,G2,Technical Validation,1000+,36112.71,14
DL-47056,Eric,Ortiz,eric.ortiz@wheelercarterandhall.com,"Wheeler, Carter and Hall",USA,Direct,Closed Won,51-200,143869.74,9
DL-68115,Martha,Gilbert,martha.gilbert@johnson-wood.com,Johnson-Wood,GBR,Partner,Discovery,51-200,82597.08,18
DL-42271,Casey,Jones,casey.jones@powellplc.com,Powell PLC,United States,Referral (Old),Discovery,1000+,36731.96,23
DL-91226,Laura,Jackson,laura.jackson@lynchgroup.com,Lynch Group,United States,Outbound SDR,Closed Won,201-1000,127166.85,12
DL-23069,tammy,rivera,tammy.rivera@sawyergroup.com,Sawyer Group,United States,Partner,Demo Scheduled,201-1000,62714.94,15
DL-68008,Stephen,Solis,stephen.solis@schmidthansenandstewart.com,"Schmidt, Hansen and Stewart",FRA,Partner,Technical Validation,1000+,130462.79,9
DL-80804,Darren,Young,darren.young@taylorchavezandsantiago.com,"Taylor, Chavez and Santiago",UK,Events,Closed Won,51-200,97501.96,1
DL-87656,tammy,nelson,tammy.nelson@hamptonmarshallandpetersen.com,"Hampton, Marshall and Petersen",FRA,G2,Closed Won,1-50,70540.79,4
DL-84847,Chad,Young,chad.young@washingtonryanandcummings.com,"Washington, Ryan and Cummings",USA,Direct,Technical Validation,51-200,67319.07,1
DL-30006,Jessica,Edwards,jessica.edwards@ortega-brooks.com,Ortega-Brooks,Great Britain,Partner,Closed Lost,51-200,64966.23,5
DL-96159,Laura,Wilson,laura.wilson@curtismackandle.com," Curtis, Mack and Le ",UK,Organic,Closed Lost,51-200,34881.84,70
DL-92397,Amanda,Dudley,amanda.dudley@miller-carter.com,Miller-Carter,United States,Direct,Technical Validation,1-50,38211.97,1
DL-19508,Joseph,Anderson,joseph.anderson@evansstewartandwalton.com,"Evans, Stewart and Walton",France,Organic,Technical Validation,201-1000,134488.89,2
DL-69878,Charles,Landry,charles.landry@evanshaydenandvaughn.com,"Evans, Hayden and Vaughn",Great Britain,Direct,Technical Validation,1000+,23961.09,7
DL-64524,russell,beasley,russell.beasley@morgan-chavez.com,Morgan-Chavez,USA,Referral (Old),Discovery,51-200,78064.9,5
DL-27038,kim,kramer,kim.kramer@smithgarrisonandthomas.com,"Smith, Garrison and Thomas",Great Britain,Referral (Old),Legal Review,201-1000,105092.1,15
DL-84228,Alyssa,Mcintyre,alyssa.mcintyre@scottgroup.com,Scott Group,Great Britain,G2,Demo Scheduled,201-1000,53029.74,18
DL-50888,kimberly,martin,kimberly.martin@rodriguez-johnson.com,Rodriguez-Johnson,USA,Organic,Legal Review,1000+,58796.67,42
DL-84085,Beth,Williams,beth32@gmail.com,Barnes PLC,France,Organic,Closed Lost,201-1000,142755.74,32
DL-74454,Tammy,King,tammy.king@wilson-jones.com,Wilson-Jones,FRA,Organic,Demo Scheduled,1000+,125643.76,36
DL-26728,Anthony,Rogers,anthony.rogers@yatesramseyandpittman.com,"Yates, Ramsey and Pittman",FRA,Partner,Legal Review,1-50,39394.83,12
DL-47512, alan,grimes,alan.grimes@beltranlozanoandmcgee.com,"Beltran, Lozano and Mcgee",FRA,Outbound SDR,Technical Validation,1000+,91640.22,26
DL-96499,Lori,Campbell,lori.campbell@monroe-carpenter.com,Monroe-Carpenter,GBR,Organic,Discovery,201-1000,68357.95,8
DL-22704,Barbara,Sanchez,barbara.sanchez@aguirre-lee.com,Aguirre-Lee,USA,Outbound SDR,Closed Won,1000+,146206.37,20
DL-32838,Alexis,Tyler,alexis.tyler@chapmaninc.com,Chapman Inc,GBR,Events,Legal Review,201-1000,16324.89,12
DL-73956,Melissa,Phelps,melissa.phelps@jamesstewartandhiggins.com,"James, Stewart and Higgins",Great Britain,Partner,Closed Lost,51-200,120085.98,10
DL-91490,Michael,Farmer,michael.farmer@perezpattersonandhoffman.com,"Perez, Patterson and Hoffman",GBR,G2,Technical Validation,201-1000,57148.47,31
DL-47667,monique,johnson,monique.johnson@youngltd.com, Young Ltd ,GBR,G2,Legal Review,51-200,93732.51,2
DL-16658, james,walters,james.walters@wagner-king.com,Wagner-King,Great Britain,Referral (Old),Discovery,51-200,33907.3,1
DL-12671,jeffrey,jones,jeffrey.jones@williamsjohnsonandwright.com,"Williams, Johnson and Wright",US,Direct,Closed Won,201-1000,18093.92,8
DL-45018, michelle,hill,michelle26@gmail.com,Morgan-French,France,Referral (Old),Technical Validation,1000+,148422.79,11
DL-48469,Erin,Wilson,erin.wilson@pottermackandpeterson.com,"Potter, Mack and Peterson",US,G2,Legal Review,51-200,131800.46,2
DL-23970,Reginald,Hernandez,reginald.hernandez@smithpotterandcarrillo.com,"Smith, Potter and Carrillo",GBR,G2,Demo Scheduled,1000+,140234.69,5
DL-25860,Jennifer,Ross,jennifer.ross@santoskimandholmes.com,"Santos, Kim and Holmes",USA,Direct,Technical Validation,1-50,134008.34,19
DL-93819,Stacy,Holloway,stacy.holloway@batesltd.com,Bates Ltd,UK,Outbound SDR,Closed Lost,51-200,7042.21,6
DL-34356,samantha,schmidt,samantha.schmidt@yuinc.com,Yu Inc,GBR,Organic,Closed Won,51-200,109160.16,7
DL-80236,John,Martinez,john.martinez@stewartltd.com,Stewart Ltd,USA,Partner,Demo Scheduled,51-200,87116.56,8
DL-84364,Sarah,Koch,sarah66@gmail.com,Allen-Allen,United States,Referral (Old),Closed Lost,51-200,63547.45,40
DL-65435,Anna,Santiago,anna.santiago@gomez-ortega.com,Gomez-Ortega,FRA,Outbound SDR,Discovery,1000+,127834.34,2
DL-25194,Lisa,Pierce,lisa.pierce@miller-king.com,Miller-King,US,G2,Legal Review,1-50,62485.82,7
DL-29528,Donna,Peck,donna.peck@wilson-walker.com,Wilson-Walker,Great Britain,G2,Discovery,201-1000,14557.22,2
DL-66346,Ashley,Sullivan,ashley.sullivan@torresandsons.com,Torres and Sons,FRA,G2,Legal Review,201-1000,92538.48,1
DL-45054,Christina,Day,christina.day@lynchltd.com,Lynch Ltd,France,Outbound SDR,Closed Won,51-200,112481.59,1
DL-21003,Tina,Ferguson,tina85@gmail.com,Vargas-Alvarado,UK,Organic,Closed Lost,1-50,137039.46,20
DL-99593,mary,martin,mary.martin@clark-adams.com,Clark-Adams,United States,Organic,Legal Review,201-1000,145806.36,28
DL-91987,Kevin,Oliver,kevin.oliver@choigarciaandfarmer.com,"Choi, Garcia and Farmer",Great Britain,Outbound SDR,Closed Lost,201-1000,120467.8,13
DL-70217,Christopher,Davis,christopher.davis@munoz-roman.com,Munoz-Roman,Great Britain,Direct,Closed Lost,1-50,93324.0,3
DL-22833,John,Leblanc,john.leblanc@morton-chase.com,Morton-Chase,Great Britain,Partner,Technical Validation,1-50,20718.37,8
DL-35313,kevin,pope,kevin.pope@walkerltd.com,Walker Ltd,GBR,Direct,Legal Review,201-1000,110064.83,53
DL-36100,Christine,Davis,christine.davis@chambersandsons.com,  Chambers and Sons,UK,Events,Technical Validation,1-50,145676.79,8
DL-34164, curtis,smith,curtis.smith@harrison-alexander.com, Harrison-Alexander ,GBR,Partner,Discovery,1000+,138568.55,28
DL-52906,Dawn,Taylor,dawn.taylor@white-green.com,White-Green,UK,Partner,Technical Validation,51-200,96095.98,33
DL-70552,Tara,Powell,tara.powell@bryansmithandbooth.com,"Bryan, Smith and Booth",US,Referral (Old),Closed Lost,201-1000,119750.19,3
DL-49824,charles,soto,charles.soto@hernandezplc.com,Hernandez PLC  ,US,Events,Demo Scheduled,201-1000,117972.09,2
DL-56898,Angela,Jordan,angela54@gmail.com,Parker Inc,Great Britain,Organic,Legal Review,51-200,68145.64,19
DL-60140, Michelle,Cochran,michelle.cochran@moore-haynes.com,Moore-Haynes,GBR,G2,Technical Validation,51-200,63638.16,4
DL-31417,deborah,lynch,deborah.lynch@fergusonandsons.com,Ferguson and Sons,US,Partner,Technical Validation,1000+,27932.87,1
DL-17972,jessica,kerr,jessica.kerr@boydellisandmaynard.com,"Boyd, Ellis and Maynard  ",UK,Events,Discovery,1-50,140514.51,2
DL-64921,Omar,Smith,omar.smith@evans-price.com,Evans-Price,United States,Referral (Old),Demo Scheduled,1000+,137360.21,3
DL-45954,Jeremy,White,jeremy.white@ericksonandsons.com,Erickson and Sons,US,Direct,Closed Lost,201-1000,11585.52,8
DL-32962,Brenda,Smith,brenda.smith@underwoodjohnstonandhines.com,"Underwood, Johnston and Hines",FRA,Direct,Demo Scheduled,1000+,11335.4,7
DL-24662,Nathaniel,Martin,nathaniel.martin@sellersgeorgeandburns.com,"Sellers, George and Burns",France,Organic,Closed Lost,201-1000,13288.96,13
DL-41285,Alexandra,Donovan,alexandra.donovan@santiagollc.com,Santiago LLC,FRA,Outbound SDR,Technical Validation,51-200,126780.12,5
DL-66606,Gloria,Wells,gloria.wells@deckerinc.com,Decker Inc  ,United States,G2,Closed Lost,1000+,118941.67,6
DL-86484,Joseph,Wright,joseph.wright@ryanburgessandpatterson.com,"Ryan, Burgess and Patterson",GBR,Direct,Closed Lost,201-1000,68524.51,11
DL-87304, Jacqueline,Gibson,jacqueline.gibson@hallbakerandmoody.com,"Hall, Baker and Moody",Great Britain,Referral (Old),Closed Lost,1000+,148692.97,11
DL-99687,Brittany,Rivas,brittany.rivas@garciallc.com,Garcia LLC,GBR,Partner,Closed Won,201-1000,13779.76,5
DL-58571,Caroline,Martinez,caroline28@gmail.com,"Patton, Reed and Patterson",France,Events,Technical Validation,51-200,148379.03,22
DL-23173,Wendy,Francis,wendy.francis@good-hodges.com,Good-Hodges  ,France,Events,Legal Review,1000+,103615.8,6
DL-79822,Stacey,Miller,stacey.miller@cabrera-spence.com,Cabrera-Spence,USA,Events,Technical Validation,51-200,102110.27,6
DL-28595,Alexandra,Donovan,alexandra.donovan@santiagollc.com,Santiago LLC,FRA,Outbound SDR,Discovery,51-200,126780.12,68
DL-99364,Michael,Jordan,michael.jordan@schmidtplc.com,Schmidt PLC,GBR,Partner,Closed Lost,201-1000,23149.69,6
DL-25906,Kimberly,Robinson,kimberly.robinson@holmeswilliamsandwright.com,"Holmes, Williams and Wright",FRA,Outbound SDR,Demo Scheduled,51-200,130283.91,5
DL-97806,Angel,Doyle,angel.doyle@patton-jenkins.com,Patton-Jenkins,Great Britain,Events,Discovery,51-200,17413.88,18
DL-44237,Darlene,Ross,darlene.ross@riverajohnsonandwiley.com,"Rivera, Johnson and Wiley",United States,Organic,Legal Review,1000+,68867.98,3
DL-75836,Paul,Alvarado,paul.alvarado@pollardsimpsonandjohnson.com,"  Pollard, Simpson and Johnson",USA,G2,Closed Lost,201-1000,57511.83,42
DL-66207,kimberly,james,kimberly.james@evans-chapman.com,Evans-Chapman,United States,Outbound SDR,Legal Review,1000+,103764.35,30
DL-46211,Tony,Kelly,tony90@gmail.com,Peterson-Beard,FRA,Direct,Closed Lost,51-200,67360.14,31
DL-22999,Amy,Nguyen,amy.nguyen@schmidtchavezandjacobs.com,"Schmidt, Chavez and Jacobs",GBR,Partner,Legal Review,1000+,124387.26,4
DL-30032,William,Rodriguez,william.rodriguez@evansfowlerandlynch.com,"Evans, Fowler and Lynch",USA,Referral (Old),Legal Review,201-1000,66336.09,45
DL-41963,Joseph,Christian,joseph.christian@ramirezgroup.com,Ramirez Group,UK,Organic,Legal Review,1-50,76088.98,34
DL-90676,angela,lee,angela.lee@bentleybyrdandorr.com,"Bentley, Byrd and Orr",UK,Referral (Old),Closed Lost,201-1000,68677.25,9
DL-55870,johnny,miller,johnny.miller@curryinc.com,Curry Inc,Great Britain,Outbound SDR,Legal Review,201-1000,113251.11,6
DL-34914,Jessica,Edwards,jessica.edwards@joycewilsonandlam.com,"Joyce, Wilson and Lam",US,G2,Demo Scheduled,1000+,70324.6,9
DL-27224,Debbie,Parker,debbie.parker@johnson-diaz.com,Johnson-Diaz,Great Britain,Outbound SDR,Closed Won,1-50,11568.99,3
DL-68138,Yolanda,Boone,yolanda.boone@parks-henry.com,Parks-Henry,USA,Outbound SDR,Closed Lost,1000+,59296.83,32
DL-54942,Joseph,Preston,joseph.preston@trannelsonandjacobs.com,"Tran, Nelson and Jacobs",Great Britain,Partner,Technical Validation,1-50,73194.49,20
DL-56025,Raymond,Ramirez,raymond.ramirez@rasmussenllc.com,Rasmussen LLC,UK,Partner,Discovery,51-200,44775.14,52
DL-83608,Colin,Rodgers,colin.rodgers@hawkinsplc.com,Hawkins PLC,United States,Events,Technical Validation,51-200,121837.54,35
DL-73532,Kathleen,Harris,kathleen.harris@andersonrobertsandgilmore.com,"Anderson, Roberts and Gilmore",FRA,Partner,Closed Lost,1000+,14107.04,26
DL-79163,Katie,Anderson,katie.anderson@arroyo-martin.com,Arroyo-Martin,United States,Partner,Discovery,1000+,95068.09,12
DL-87128,john,brown,john.brown@chapmanandsons.com,Chapman and Sons,UK,Outbound SDR,Closed Won,1000+,41412.58,34
DL-44760,albert,howell,albert.howell@ferrelljonesandlewis.com,"Ferrell, Jones and Lewis",FRA,Organic,Legal Review,1000+,14028.53,26
DL-48829,jenny,bray,jenny.bray@carlsonhooperandwall.com,"Carlson, Hooper and Wall",USA,Organic,Closed Lost,1000+,75420.95,9
DL-93202,Thomas,Pearson,thomas.pearson@white-richards.com,White-Richards,France,G2,Legal Review,51-200,58336.94,42
DL-22978,Robert,Newton,robert.newton@mcclureltd.com,Mcclure Ltd,France,Organic,Demo Scheduled,1000+,99669.46,30
DL-69692,Dylan,Williams,dylan.williams@carr-mack.com, Carr-Mack ,USA,G2,Legal Review,1000+,115198.63,4
DL-73242,Marilyn,Jimenez,marilyn.jimenez@carterthorntonandperry.com,"Carter, Thornton and Perry",Great Britain,Referral (Old),Closed Lost,1-50,116867.7,19
DL-38010,Kristi,Lawson,kristi.lawson@marshall-ramos.com,Marshall-Ramos,USA,Partner,Demo Scheduled,1000+,80249.76,9
DL-11792,David,Dudley,david.dudley@lloydmckinneyandcollins.com,"Lloyd, Mckinney and Collins",USA,Direct,Closed Won,201-1000,39881.81,8
DL-53064,jamie,gallegos,jamie.gallegos@clarkrobinsonandkane.com,"Clark, Robinson and Kane",Great Britain,Referral (Old),Technical Validation,201-1000,48782.15,18
DL-30926,Robert,Cole,robert.cole@pacheco-smith.com,Pacheco-Smith,UK,Events,Discovery,201-1000,125263.68,14
DL-33777,Anthony,Nelson,anthony.nelson@dorsey-bell.com,Dorsey-Bell,FRA,Outbound SDR,Legal Review,201-1000,42312.38,25
DL-59441,Tracy,Hernandez,tracy.hernandez@washingtoncookandhines.com,"Washington, Cook and Hines",FRA,Direct,Closed Won,201-1000,121166.47,19
DL-94896,Andrea,Davis,andrea.davis@murrayinc.com,Murray Inc,US,Events,Closed Won,1-50,61615.79,9
DL-28776,jessica,kerr,jessica.kerr@boydellisandmaynard.com,"Boyd, Ellis and Maynard  ",UK,Events,Closed Lost,1-50,140514.51,46
DL-23396,Helen,Peterson,helen.peterson@lewisllc.com,Lewis LLC,GBR,Referral (Old),Discovery,51-200,130640.13,7
DL-49857,Kaitlyn,Carroll,kaitlyn.carroll@gonzales-harrison.com,Gonzales-Harrison,FRA,Organic,Technical Validation,51-200,102166.88,25
DL-58689,Miguel,Curry,miguel.curry@richards-carson.com,Richards-Carson,France,Outbound SDR,Closed Won,201-1000,103000.94,29
DL-87993,Rebekah,Serrano,rebekah.serrano@brownllc.com,Brown LLC,UK,Events,Closed Won,51-200,137928.24,6
DL-59986,Megan,Gonzalez,megan.gonzalez@castaneda-rodriguez.com,Castaneda-Rodriguez,Great Britain,G2,Technical Validation,1000+,130303.76,8
DL-49608,Rose,Walker,rose.walker@reidgroup.com,Reid Group,France,Direct,Closed Lost,1000+,134885.27,8
DL-57953,Christopher,Phillips,christopher.phillips@perrygonzalezandbuchanan.com,"Perry, Gonzalez and Buchanan",France,Events,Technical Validation,51-200,61978.42,14
DL-45976,Ashley,Andrews,ashley.andrews@phillipsspenceandbarrett.com,"Phillips, Spence and Barrett",United States,Direct,Legal Review,1000+,77320.16,6
DL-16175, reginald,robinson,reginald3@gmail.com,Hicks Inc,GBR,Outbound SDR,Closed Lost,1-50,38196.56,34
DL-19961,Barbara,Odonnell,barbara.odonnell@sanders-espinoza.com,Sanders-Espinoza,FRA,G2,Closed Won,1000+,141162.69,5
DL-39581,Christopher,Wright,christopher.wright@duranobrienandgibbs.com,"Duran, Obrien and Gibbs",GBR,Direct,Demo Scheduled,51-200,19906.66,5
DL-97835,Lisa,Costa,lisa.costa@bailey-cook.com,Bailey-Cook,France,Events,Demo Scheduled,51-200,131585.28,1
DL-63264,Jason,Wright,jason.wright@gomezplc.com,Gomez PLC,UK,G2,Closed Won,201-1000,51734.16,4
DL-81426,Clayton,Hall,clayton.hall@johnsongonzalezandsantos.com,"Johnson, Gonzalez and Santos",USA,G2,Technical Validation,1-50,18448.15,2
DL-85914,Dorothy,Tucker,dorothy.tucker@phillipsinc.com,Phillips Inc,USA,Events,Legal Review,1000+,102965.95,11
DL-27275,Amber,Lindsey,amber.lindsey@guerreroinc.com,Guerrero Inc,Great Britain,Outbound SDR,Closed Won,201-1000,65297.61,12
DL-11504,Bryan,James,bryan56@gmail.com,Rice-Maddox,US,G2,Closed Lost,1-50,13788.84,19
DL-55830,Monica,Garrison,monica.garrison@gonzalezgroup.com,Gonzalez Group,Great Britain,G2,Technical Validation,1000+,44282.88,5
DL-92242,Erica,Le,erica.le@beckertayloranddavis.com,"Becker, Taylor and Davis",GBR,G2,Technical Validation,1-50,23656.19,2
DL-31798,Brent,Kidd,brent.kidd@novakandsons.com,Novak and Sons,Great Britain,Organic,Technical Validation,1-50,107773.87,1
DL-12260,tracy,chang,tracy13@gmail.com,"Alvarez, Joseph and West",US,Partner,Closed Won,201-1000,102151.92,8
